Product ID,Order ID,Order Date,Product name,Order Priority,Order Quantity,Unit Price,Discount,Shipping Price,Total,Total After Discount,Box Size,Shipping Cost,Box Cost,Delivery Date,Product Category,Product Base Margin %,Customer Id,Customer Name,Region,Customer Segment,Revenue,Source,YearMonth
PFS127009,200920,2017-09-10,"7"" Dog Frisbee",Low,7,40.95,0.04,1.75,286.65,275.18,Jumbo Drum,1.23,5.42,2017-09-18,Pet,42.06,100922001,Muhammed MacIntyre,Nunavut,Small Business,109.1,Other,2017-09
PFS127010,200921,2017-08-16,Google Infant Short Sleeve Tee Green,Medium,1,23.7,0.07,3.0,23.7,22.04,Small Box,2.1,0.56,2017-08-22,Infant,38.04,100922002,Barry French,Nunavut,Consumer,5.72,Referral,2017-08
PFS127011,200922,2017-11-03,BLM Sweatshirt,High,3,24.3,0.01,6.0,72.9,72.17,Small Box,4.2,0.56,2017-11-06,Apparel,37.22,100922003,Clay Rozendal,Nunavut,Corporate,22.1,TikTok Ads,2017-11
PFS127025,200923,2017-04-04,Google Baby Essentials Set,Critical,9,15.6,0.08,7.5,140.4,129.17,Medium Box,5.25,1.18,2017-04-06,Infant,69.66,100922004,Carlos Soltero,Nunavut,Home Office,83.55,Google Ads,2017-04
PFS127026,200924,2017-03-15,Google 17oz Stainless Steel Sport Bottle,Very Low,12,15.77,0.08,2.33,189.23,174.09,Small Pack,1.63,0.38,2017-03-25,Water Bottles,68.5,100922005,Carl Jackson,Nunavut,Consumer,117.24,TikTok Ads,2017-03
PFS127038,200925,2017-04-09,Google Women's Short Sleeve Hero Tee Black,Same Day,5,16.34,0.05,11.25,81.71,77.62,Small Box,7.88,0.56,2017-04-10,Women's-T-Shirts,73.32,100922006,Monica Federle,Nunavut,Consumer,48.47,Google Organic,2017-04
PFS127047,200926,2017-05-02,Waze Mood Ninja Window Decal,Low,4,16.65,0.03,3.5,66.61,64.61,Small Box,2.45,0.56,2017-05-10,Stickers,68.5,100922007,Dorothy Badders,Nunavut,Consumer,41.25,Google Organic,2017-05
PFS127055,200927,2017-08-31,Android Women's Long Sleeve Blended Cardigan Grey,Medium,3,19.67,0.09,3.75,59.0,53.69,Large Box,2.63,1.48,2017-09-06,Women's-Outerwear,73.32,100922008,Neola Schneider,Nunavut,Consumer,35.26,Referral,2017-08
PFS127056,200928,2017-04-04,Android Women's Short Sleeve Hero Tee Black,High,2,17.67,0.07,9.0,35.33,32.86,Small Box,6.3,0.56,2017-04-07,Women's-T-Shirts,73.32,100922009,Carlos Daly,Nunavut,Home Office,17.23,Instagram Ads,2017-04
PFS127058,200929,2017-02-21,Google Women's Performance Full Zip Jacket Black,Critical,2,41.5,0.07,6.0,83.0,77.19,Small Box,4.2,0.56,2017-02-23,Women's-Outerwear,68.26,100922010,Claudia Miner,Nunavut,Small Business,47.93,Referral,2017-02
PFS127065,200930,2017-09-07,Waze Women's Typography Short Sleeve Tee,Very Low,9,47.5,0.01,1.0,427.5,423.23,Wrap Bag,0.7,0.34,2017-09-17,Apparel,37.22,100922011,Allen Rosenblatt,Nunavut,Consumer,156.49,Google Ads,2017-09
PFS127069,200931,2017-02-26,Google Women's Recycled Fabric Tee,Same Day,1,18.41,0.04,13.5,18.41,17.67,Medium Box,9.45,1.18,2017-02-27,Women's-T-Shirts,72.68,100922012,Sylvia Foulston,Nunavut,Consumer,2.22,Other,2017-02
PFS127074,200932,2017-02-21,Google Men's Vintage Badge Tee White,Medium,4,19.75,0.0,6.0,78.99,78.99,Small Pack,4.2,0.38,2017-02-27,Men's-Performance Wear,62.28,100922013,Jim Radford,Nunavut,Consumer,44.62,Other,2017-02
